1,this is my contribution #1,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,1
2,this is my contribution #2,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,4,1
3,this is my contribution #3,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,3,1
4,this is my contribution #4,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,4,1
5,this is my contribution #5,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,2
6,this is my contribution #6,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,3
7,this is my contribution #7,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,4
8,this is my contribution #8,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2,2
9,this is my contribution #9,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,3,2
10,this is my contribution #10,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,5,2
11,this is my contribution #11,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,4,3
12,this is my contribution #12,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2,3
13,this is my contribution #13,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,4,5
14,this is my contribution #14,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,5,6
15,this is my contribution #15,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,3,5
16,this is my contribution #16,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,2,5
17,this is my contribution #17,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,6
18,this is my contribution #18,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,1,7
19,a mosquito bite him in the neck making Sam realize that he is sleeping on top of the roof,0,7,0000-00-00 00:00:00,0000-00-00 00:00:00,2,7
20,A beautiful unicorn appears in front of him and begin to charge at him.,0,7,0000-00-00 00:00:00,0000-00-00 00:00:00,3,7
21,an interdimensional portal opens and two space aliens start to point lasers toward him,0,7,0000-00-00 00:00:00,0000-00-00 00:00:00,6,7
22,the door opens wide and come Charlie and Donald His favorite grandchildren that have died couple years ago,0,7,0000-00-00 00:00:00,0000-00-00 00:00:00,4,7
23,Sam is so surprised that he didn’t notice that he is missing his left hand,0,21,0000-00-00 00:00:00,0000-00-00 00:00:00,5,7
24,"sam is so  paralysed that he couldn’t move a finger and yell : ""Mr Trump make me strong again!!!",0,21,0000-00-00 00:00:00,0000-00-00 00:00:00,2,7
25,Sam start an incantation and build an invisible wall surrounding him,0,21,0000-00-00 00:00:00,0000-00-00 00:00:00,3,7
26,Sam runs in the opposite direction and jump over the space ship,0,21,0000-00-00 00:00:00,0000-00-00 00:00:00,6,7
27,a white cow tell him to remember his past that s the key of his escape,0,24,0000-00-00 00:00:00,0000-00-00 00:00:00,1,7
28,A thunderbolt lightning tear the sky and kill both aliens,0,24,0000-00-00 00:00:00,0000-00-00 00:00:00,4,7
29,The aliens remove their skin and are revealed to be Sam ancestors,0,24,0000-00-00 00:00:00,0000-00-00 00:00:00,5,7
30,Catwoman and blackwidow came to the rescue ,0,24,0000-00-00 00:00:00,0000-00-00 00:00:00,3,7
31,Sam thanks his savior and notice a spider tatoo with chains on both their right hands,0,30,0000-00-00 00:00:00,0000-00-00 00:00:00,2,7
